ts_utc,ccy,spread_pct,ccy_mean_spread_pct,spread_ratio,n_prior_readings
2026-09-04T06:05:35.566726+00:00,EGP,0.1947,-0.0576,,39
2026-09-04T06:05:35.566726+00:00,PKR,0.209,0.2277,0.9178,39
2026-09-04T06:05:35.566726+00:00,BDT,0.059,0.5048,0.1169,39
2026-09-04T06:05:35.566726+00:00,VND,0.0484,0.1285,0.3767,39
2026-09-04T06:05:35.566726+00:00,KES,0.3096,0.4131,0.7495,39
2026-09-04T06:05:35.566726+00:00,BOB,0.5647,0.5381,1.0494,39
2026-09-04T06:05:35.566726+00:00,LBP,4.8609,4.3036,1.1295,39
2026-09-04T07:05:28.492789+00:00,EGP,0.1363,-0.0513,,40
2026-09-04T07:05:28.492789+00:00,PKR,0.2317,0.2273,1.0196,40
2026-09-04T07:05:28.492789+00:00,BDT,0.3583,0.4937,0.7258,40
2026-09-04T07:05:28.492789+00:00,VND,0.0698,0.1265,0.5519,40
2026-09-04T07:05:28.492789+00:00,KES,0.2592,0.4105,0.6314,40
2026-09-04T07:05:28.492789+00:00,BOB,0.8065,0.5388,1.4969,40
2026-09-04T07:05:28.492789+00:00,LBP,4.4227,4.3176,1.0244,40
2026-09-04T08:05:29.600146+00:00,EGP,0.0585,-0.0467,,41
2026-09-04T08:05:29.600146+00:00,PKR,0.2422,0.2274,1.0653,41
2026-09-04T08:05:29.600146+00:00,BDT,0.1416,0.4904,0.2888,41
2026-09-04T08:05:29.600146+00:00,VND,-0.0233,0.1251,-0.1863,41
2026-09-04T08:05:29.600146+00:00,KES,0.2476,0.4068,0.6086,41
2026-09-04T08:05:29.600146+00:00,BOB,0.8466,0.5453,1.5525,41
2026-09-04T08:05:29.600146+00:00,LBP,2.2177,4.3201,0.5133,41
2026-09-04T09:05:32.954149+00:00,EGP,0.1072,-0.0442,,42
2026-09-04T09:05:32.954149+00:00,PKR,0.3404,0.2277,1.4949,42
2026-09-04T09:05:32.954149+00:00,BDT,-0.0511,0.4821,-0.106,42
2026-09-04T09:05:32.954149+00:00,VND,0.0698,0.1216,0.5742,42
2026-09-04T09:05:32.954149+00:00,KES,0.236,0.403,0.5856,42
2026-09-04T09:05:32.954149+00:00,BOB,0.8065,0.5525,1.4597,42
2026-09-04T09:05:32.954149+00:00,LBP,1.7071,4.2701,0.3998,42
2026-09-04T10:05:26.723401+00:00,EGP,0.3998,-0.0407,,43
2026-09-04T10:05:26.723401+00:00,PKR,0.2649,0.2303,1.1501,43
2026-09-04T10:05:26.723401+00:00,BDT,0.0354,0.4697,0.0754,43
2026-09-04T10:05:26.723401+00:00,VND,0.0833,0.1204,0.6921,43
2026-09-04T10:05:26.723401+00:00,KES,0.298,0.3991,0.7466,43
2026-09-04T10:05:26.723401+00:00,BOB,0.6047,0.5584,1.0829,43
2026-09-04T10:05:26.723401+00:00,LBP,1.8524,4.2105,0.44,43
2026-09-04T11:05:26.152584+00:00,EGP,0.3607,-0.0306,,44
2026-09-04T11:05:26.152584+00:00,PKR,0.2263,0.2311,0.9792,44
2026-09-04T11:05:26.152584+00:00,BDT,0.1968,0.4598,0.428,44
2026-09-04T11:05:26.152584+00:00,VND,0.0852,0.1195,0.7129,44
2026-09-04T11:05:26.152584+00:00,KES,0.2786,0.3968,0.702,44
2026-09-04T11:05:26.152584+00:00,BOB,0.4839,0.5595,0.8649,44
2026-09-04T11:05:26.152584+00:00,LBP,1.6244,4.1569,0.3908,44
2026-09-04T12:05:30.251619+00:00,EGP,-0.0487,-0.0219,,45
2026-09-04T12:05:30.251619+00:00,PKR,0.1999,0.231,0.8653,45
2026-09-04T12:05:30.251619+00:00,BDT,0.1733,0.454,0.3817,45
2026-09-04T12:05:30.251619+00:00,VND,0.0833,0.1188,0.7015,45
2026-09-04T12:05:30.251619+00:00,KES,0.2399,0.3942,0.6086,45
2026-09-04T12:05:30.251619+00:00,BOB,0.4034,0.5578,0.7232,45
2026-09-04T12:05:30.251619+00:00,LBP,1.263,4.1006,0.308,45
2026-09-04T13:05:27.829595+00:00,EGP,-0.0195,-0.0225,,46
2026-09-04T13:05:27.829595+00:00,PKR,0.1666,0.2303,0.7233,46
2026-09-04T13:05:27.829595+00:00,BDT,0.3471,0.4479,0.775,46
2026-09-04T13:05:27.829595+00:00,VND,0.0677,0.118,0.5738,46
2026-09-04T13:05:27.829595+00:00,KES,0.3016,0.3909,0.7716,46
2026-09-04T13:05:27.829595+00:00,BOB,0.4027,0.5544,0.7263,46
