ts_utc,source,ccy,buy_median,sell_median,mid,fx_mid_per_usd,basis_bps,n_ads,source_ok,error
2026-09-03T04:06:35.668407+00:00,binance_p2p,GHS,,,,11.308861,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T04:06:35.668407+00:00,binance_p2p,BOB,12.43,12.33,12.38,12.060031,265.31,20,True,
2026-09-03T04:06:35.668407+00:00,binance_p2p,LBP,91750.0,84500.0,88125.0,89500.0,-153.63,20,True,
2026-09-03T04:06:35.668407+00:00,binance_p2p,ETB,,,,162.287858,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T05:05:29.553333+00:00,binance_p2p,NGN,,,,1329.17076,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T05:05:29.553333+00:00,binance_p2p,EGP,51.44,51.505,51.4725,51.090409,74.79,20,True,
2026-09-03T05:05:29.553333+00:00,binance_p2p,PKR,285.28,284.725,285.0025,277.428817,273.0,20,True,
2026-09-03T05:05:29.553333+00:00,binance_p2p,BDT,127.315,127.16,127.2375,122.634127,375.37,20,True,
2026-09-03T05:05:29.553333+00:00,binance_p2p,VND,25768.5,25748.5,25758.5,26015.668933,-98.85,20,True,
2026-09-03T05:05:29.553333+00:00,binance_p2p,KES,129.46,129.12,129.29,129.465319,-13.54,20,True,
2026-09-03T05:05:29.553333+00:00,binance_p2p,GHS,,,,11.308861,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T05:05:29.553333+00:00,binance_p2p,BOB,12.41,12.33,12.37,12.060031,257.02,20,True,
2026-09-03T05:05:29.553333+00:00,binance_p2p,LBP,89764.995,86250.5,88007.7475,89500.0,-166.73,20,True,
2026-09-03T05:05:29.553333+00:00,binance_p2p,ETB,,,,162.287858,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T06:05:28.906535+00:00,binance_p2p,NGN,,,,1329.17076,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T06:05:28.906535+00:00,binance_p2p,EGP,51.37,51.45,51.41,51.090409,62.55,20,True,
2026-09-03T06:05:28.906535+00:00,binance_p2p,PKR,285.305,284.73,285.0175,277.428817,273.54,20,True,
2026-09-03T06:05:28.906535+00:00,binance_p2p,BDT,127.22,127.055,127.1375,122.634127,367.22,20,True,
2026-09-03T06:05:28.906535+00:00,binance_p2p,VND,25748.0,25739.5,25743.75,26015.668933,-104.52,20,True,
2026-09-03T06:05:28.906535+00:00,binance_p2p,KES,129.625,129.1,129.3625,129.465319,-7.94,20,True,
2026-09-03T06:05:28.906535+00:00,binance_p2p,GHS,,,,11.308861,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T06:05:28.906535+00:00,binance_p2p,BOB,12.42,12.32,12.37,12.060031,257.02,20,True,
2026-09-03T06:05:28.906535+00:00,binance_p2p,LBP,89550.0,88005.0,88777.5,89500.0,-80.73,20,True,
2026-09-03T06:05:28.906535+00:00,binance_p2p,ETB,,,,162.287858,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T07:05:36.696251+00:00,binance_p2p,NGN,,,,1329.17076,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T07:05:36.696251+00:00,binance_p2p,EGP,51.495,51.465,51.48,51.090409,76.26,20,True,
2026-09-03T07:05:36.696251+00:00,binance_p2p,PKR,285.295,284.87,285.0825,277.428817,275.88,20,True,
2026-09-03T07:05:36.696251+00:00,binance_p2p,BDT,127.2,126.815,127.0075,122.634127,356.62,20,True,
2026-09-03T07:05:36.696251+00:00,binance_p2p,VND,25757.5,25734.0,25745.75,26015.668933,-103.75,20,True,
2026-09-03T07:05:36.696251+00:00,binance_p2p,KES,129.625,129.15,129.3875,129.465319,-6.01,20,True,
2026-09-03T07:05:36.696251+00:00,binance_p2p,GHS,,,,11.308861,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T07:05:36.696251+00:00,binance_p2p,BOB,12.415,12.31,12.3625,12.060031,250.8,20,True,
2026-09-03T07:05:36.696251+00:00,binance_p2p,LBP,89500.0,88000.0,88750.0,89500.0,-83.8,20,True,
2026-09-03T07:05:36.696251+00:00,binance_p2p,ETB,,,,162.287858,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T08:06:10.399532+00:00,binance_p2p,NGN,,,,1329.17076,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T08:06:10.399532+00:00,binance_p2p,EGP,51.335,51.485,51.41,51.090409,62.55,20,True,
2026-09-03T08:06:10.399532+00:00,binance_p2p,PKR,285.38,285.025,285.2025,277.428817,280.2,20,True,
2026-09-03T08:06:10.399532+00:00,binance_p2p,BDT,127.115,126.75,126.9325,122.634127,350.5,20,True,
2026-09-03T08:06:10.399532+00:00,binance_p2p,VND,25757.5,25744.5,25751.0,26015.668933,-101.73,20,True,
2026-09-03T08:06:10.399532+00:00,binance_p2p,KES,129.595,129.245,129.42,129.465319,-3.5,20,True,
2026-09-03T08:06:10.399532+00:00,binance_p2p,GHS,,,,11.308861,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T08:06:10.399532+00:00,binance_p2p,BOB,12.415,12.31,12.3625,12.060031,250.8,20,True,
2026-09-03T08:06:10.399532+00:00,binance_p2p,LBP,89500.0,88005.0,88752.5,89500.0,-83.52,20,True,
2026-09-03T08:06:10.399532+00:00,binance_p2p,ETB,,,,162.287858,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T09:05:38.736882+00:00,binance_p2p,NGN,,,,1329.17076,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T09:05:38.736882+00:00,binance_p2p,EGP,51.28,51.34,51.31,51.090409,42.98,20,True,
2026-09-03T09:05:38.736882+00:00,binance_p2p,PKR,285.49,285.025,285.2575,277.428817,282.19,20,True,
2026-09-03T09:05:38.736882+00:00,binance_p2p,BDT,127.175,126.735,126.955,122.634127,352.34,20,True,
2026-09-03T09:05:38.736882+00:00,binance_p2p,VND,25761.5,25744.5,25753.0,26015.668933,-100.97,20,True,
2026-09-03T09:05:38.736882+00:00,binance_p2p,KES,129.6,129.23,129.415,129.465319,-3.89,20,True,
2026-09-03T09:05:38.736882+00:00,binance_p2p,GHS,,,,11.308861,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T09:05:38.736882+00:00,binance_p2p,BOB,12.43,12.32,12.375,12.060031,261.17,20,True,
2026-09-03T09:05:38.736882+00:00,binance_p2p,LBP,89495.5,88205.0,88850.25,89500.0,-72.6,20,True,
2026-09-03T09:05:38.736882+00:00,binance_p2p,ETB,,,,162.287858,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T10:05:31.466306+00:00,binance_p2p,NGN,,,,1329.17076,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T10:05:31.466306+00:00,binance_p2p,EGP,51.305,51.425,51.365,51.090409,53.75,20,True,
2026-09-03T10:05:31.466306+00:00,binance_p2p,PKR,285.53,285.085,285.3075,277.428817,283.99,20,True,
2026-09-03T10:05:31.466306+00:00,binance_p2p,BDT,127.365,126.76,127.0625,122.634127,361.1,20,True,
2026-09-03T10:05:31.466306+00:00,binance_p2p,VND,25778.0,25761.0,25769.5,26015.668933,-94.62,20,True,
2026-09-03T10:05:31.466306+00:00,binance_p2p,KES,129.565,129.2,129.3825,129.465319,-6.4,20,True,
2026-09-03T10:05:31.466306+00:00,binance_p2p,GHS,,,,11.308861,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T10:05:31.466306+00:00,binance_p2p,BOB,12.435,12.325,12.38,12.060031,265.31,20,True,
2026-09-03T10:05:31.466306+00:00,binance_p2p,LBP,89475.5,88445.0,88960.25,89500.0,-60.31,20,True,
2026-09-03T10:05:31.466306+00:00,binance_p2p,ETB,,,,162.287858,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T11:05:33.294084+00:00,binance_p2p,NGN,,,,1329.17076,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T11:05:33.294084+00:00,binance_p2p,EGP,51.245,51.425,51.335,51.090409,47.87,20,True,
2026-09-03T11:05:33.294084+00:00,binance_p2p,PKR,285.49,284.905,285.1975,277.428817,280.02,20,True,
2026-09-03T11:05:33.294084+00:00,binance_p2p,BDT,127.38,126.66,127.02,122.634127,357.64,20,True,
2026-09-03T11:05:33.294084+00:00,binance_p2p,VND,25798.0,25778.0,25788.0,26015.668933,-87.51,20,True,
2026-09-03T11:05:33.294084+00:00,binance_p2p,KES,129.495,129.075,129.285,129.465319,-13.93,20,True,
2026-09-03T11:05:33.294084+00:00,binance_p2p,GHS,,,,11.308861,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T11:05:33.294084+00:00,binance_p2p,BOB,12.41,12.345,12.3775,12.060031,263.24,20,True,
2026-09-03T11:05:33.294084+00:00,binance_p2p,LBP,89475.5,88545.0,89010.25,89500.0,-54.72,20,True,
2026-09-03T11:05:33.294084+00:00,binance_p2p,ETB,,,,162.287858,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T12:05:36.550511+00:00,binance_p2p,NGN,,,,1329.17076,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-03T12:05:36.550511+00:00,binance_p2p,EGP,51.2,51.405,51.3025,51.090409,41.51,20,True,
2026-09-03T12:05:36.550511+00:00,binance_p2p,PKR,285.46,284.675,285.0675,277.428817,275.34,20,True,
2026-09-03T12:05:36.550511+00:00,binance_p2p,BDT,127.375,126.67,127.0225,122.634127,357.84,20,True,
2026-09-03T12:05:36.550511+00:00,binance_p2p,VND,25823.5,25798.0,25810.75,26015.668933,-78.77,20,True,
2026-09-03T12:05:36.550511+00:00,binance_p2p,KES,129.47,129.065,129.2675,129.465319,-15.28,20,True,
2026-09-03T12:05:36.550511+00:00,binance_p2p,GHS,,,,11.308861,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
