ts_utc,corridor,size,provider,old_cost_pct,new_cost_pct,move_pct,n_agree,n_panel,old_day,prev_day_cost_pct,kind
2026-08-24T00:00:00+00:00,USD->MXN,5000,OFX,2.0801,1.1782,-0.9019,6,7,2026-08-23,2.1743,weekend_back
2026-08-24T00:00:00+00:00,USD->MXN,5000,PayPal,4.2265,4.2981,0.0715,6,7,2026-08-23,4.2972,change
2026-08-24T00:00:00+00:00,USD->MXN,25000,OFX,2.0801,1.1782,-0.9019,4,5,2026-08-23,2.1743,weekend_back
2026-08-24T00:00:00+00:00,USD->MXN,50000,OFX,2.0761,1.1782,-0.8979,3,4,2026-08-23,2.1743,weekend_back
2026-08-25T00:00:00+00:00,SGD->PHP,200,HSBC Singapore,1.454,1.4921,0.0381,3,4,2026-08-24,1.427,change
2026-08-25T00:00:00+00:00,SGD->PHP,200,PayPal,7.4852,7.3083,-0.1769,3,4,2026-08-24,7.4602,change
2026-08-25T00:00:00+00:00,SGD->PHP,1000,PayPal,5.0667,4.881,-0.1857,4,5,2026-08-24,5.037,change
2026-08-25T00:00:00+00:00,SGD->PHP,5000,HSBC Singapore,1.4425,1.4921,0.0496,4,5,2026-08-24,1.427,change
2026-08-25T00:00:00+00:00,SGD->PHP,5000,PayPal,4.5824,4.3955,-0.1869,4,5,2026-08-24,4.5524,change
2026-08-25T00:00:00+00:00,SGD->PHP,25000,HSBC Singapore,1.4419,1.4921,0.0502,4,5,2026-08-24,1.427,change
2026-08-25T00:00:00+00:00,SGD->PHP,25000,PayPal,4.4858,4.2984,-0.1874,4,5,2026-08-24,4.4555,change
2026-08-25T00:00:00+00:00,SGD->PHP,50000,HSBC Singapore,1.4539,1.4921,0.0382,3,4,2026-08-24,1.427,change
2026-08-25T00:00:00+00:00,USD->MXN,200,PayPal,6.6824,6.9014,0.219,6,7,2026-08-24,6.5926,change
2026-08-25T00:00:00+00:00,USD->MXN,1000,PayPal,4.7709,4.9956,0.2247,6,7,2026-08-24,4.6805,change
2026-08-25T00:00:00+00:00,USD->MXN,5000,PayPal,4.3887,4.6145,0.2257,6,7,2026-08-24,4.2981,change
2026-08-26T00:00:00+00:00,SGD->PHP,200,HSBC Singapore,1.6139,1.8884,0.2745,3,4,2026-08-25,1.4921,change
2026-08-26T00:00:00+00:00,SGD->PHP,1000,HSBC Singapore,1.6541,1.8884,0.2343,4,5,2026-08-25,1.4921,change
2026-08-26T00:00:00+00:00,SGD->PHP,5000,HSBC Singapore,1.6551,1.8884,0.2333,4,5,2026-08-25,1.4921,change
2026-08-26T00:00:00+00:00,SGD->PHP,25000,HSBC Singapore,1.6553,1.8884,0.2331,4,5,2026-08-25,1.4921,change
2026-08-26T00:00:00+00:00,SGD->PHP,50000,HSBC Singapore,1.6142,1.8884,0.2742,3,4,2026-08-25,1.4921,change
2026-08-26T00:00:00+00:00,USD->MXN,200,Chase (US),5.4204,5.4587,0.0383,6,7,2026-08-25,5.4524,change
2026-08-26T00:00:00+00:00,USD->MXN,200,PayPal,6.9098,6.6533,-0.2565,6,7,2026-08-25,6.9014,change
