ts_utc,venue,ccy,usdt_mid,usdc_mid,spread_bps,source_ok,error
2026-09-02T23:05:20.120417+00:00,Coinone,KRW,1376.5,1376.5,0.0,True,
2026-09-02T23:05:20.120417+00:00,Paribu,TRY,48.2275,48.205,-4.67,True,
2026-09-02T23:05:20.120417+00:00,Pintu,IDR,17687.0,17724.0,20.92,True,
2026-09-02T23:05:20.120417+00:00,Foxbit,BRL,5.11705,5.11615,-1.76,True,
2026-09-02T23:05:20.120417+00:00,MercadoBitcoin,BRL,5.11575,5.1164,1.27,True,
2026-09-03T00:05:28.791298+00:00,IndependentReserve,SGD,1.2711,1.27135,1.97,True,
2026-09-03T00:05:28.791298+00:00,Coins.ph,PHP,62.565,62.575,1.6,True,
2026-09-03T00:05:28.791298+00:00,BTCTurk,TRY,48.2415,48.162,-16.48,True,
2026-09-03T00:05:28.791298+00:00,Upbit,KRW,1376.0,1377.0,7.27,True,
2026-09-03T00:05:28.791298+00:00,Indodax,IDR,17690.5,17691.0,0.28,True,
2026-09-03T00:05:28.791298+00:00,Bitkub,THB,33.155,33.155,0.0,True,
2026-09-03T00:05:28.791298+00:00,Bithumb,KRW,1375.5,1376.5,7.27,True,
2026-09-03T00:05:28.791298+00:00,Coinone,KRW,1375.5,1376.5,7.27,True,
2026-09-03T00:05:28.791298+00:00,Paribu,TRY,48.2285,48.2055,-4.77,True,
2026-09-03T00:05:28.791298+00:00,Pintu,IDR,17677.0,17724.0,26.59,True,
2026-09-03T00:05:28.791298+00:00,Foxbit,BRL,5.11905,5.1161,-5.76,True,
2026-09-03T00:05:28.791298+00:00,MercadoBitcoin,BRL,5.11885,5.1173,-3.03,True,
2026-09-03T01:05:22.568332+00:00,IndependentReserve,SGD,1.27038,1.27147,8.58,True,
2026-09-03T01:05:22.568332+00:00,Coins.ph,PHP,62.505,62.515,1.6,True,
2026-09-03T01:05:22.568332+00:00,BTCTurk,TRY,48.2655,48.284,3.83,True,
2026-09-03T01:05:22.568332+00:00,Upbit,KRW,1374.0,1377.0,21.83,True,
2026-09-03T01:05:22.568332+00:00,Indodax,IDR,17694.5,17694.5,0.0,True,
2026-09-03T01:05:22.568332+00:00,Bitkub,THB,33.135,33.13,-1.51,True,
2026-09-03T01:05:22.568332+00:00,Bithumb,KRW,1373.5,1374.5,7.28,True,
2026-09-03T01:05:22.568332+00:00,Coinone,KRW,1374.5,1374.5,0.0,True,
2026-09-03T01:05:22.568332+00:00,Paribu,TRY,48.2285,48.2055,-4.77,True,
2026-09-03T01:05:22.568332+00:00,Pintu,IDR,17692.0,17724.0,18.09,True,
2026-09-03T01:05:22.568332+00:00,Foxbit,BRL,5.11795,5.11705,-1.76,True,
2026-09-03T01:05:22.568332+00:00,MercadoBitcoin,BRL,5.11715,5.11665,-0.98,True,
2026-09-03T02:05:16.442636+00:00,IndependentReserve,SGD,1.269945,1.269685,-2.05,True,
2026-09-03T02:05:16.442636+00:00,Coins.ph,PHP,62.495,62.495,0.0,True,
2026-09-03T02:05:16.442636+00:00,BTCTurk,TRY,48.2405,48.2795,8.08,True,
2026-09-03T02:05:16.442636+00:00,Upbit,KRW,1374.0,1372.0,-14.56,True,
2026-09-03T02:05:16.442636+00:00,Indodax,IDR,17693.5,17701.0,4.24,True,
2026-09-03T02:05:16.442636+00:00,Bitkub,THB,33.125,33.13,1.51,True,
2026-09-03T02:05:16.442636+00:00,Bithumb,KRW,1373.5,1373.5,0.0,True,
2026-09-03T02:05:16.442636+00:00,Coinone,KRW,1373.5,1374.0,3.64,True,
2026-09-03T02:05:16.442636+00:00,Paribu,TRY,48.2305,48.208,-4.67,True,
2026-09-03T02:05:16.442636+00:00,Pintu,IDR,17699.0,17724.0,14.13,True,
